ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
324,4357830,13917700,17376300,216277,Acetone
325,4364460,14065200,17357500,216226,Acetone
326,4377320,13995300,17351100,216352,Acetone
327,4382040,13977500,17333300,216175,Acetone
328,4385600,13990500,17367600,216013,Acetone
329,4404070,13946500,17349300,215909,Acetone
330,4384230,14053000,17324900,215882,Acetone
331,4396270,14043700,17280200,215711,Acetone
332,4401060,14017100,17289000,215721,Acetone
333,4383170,14075200,17353800,215832,Acetone
334,4388810,14197300,17340600,215620,Acetone
335,4378210,14324400,17375500,215653,Acetone
336,4401090,14136700,17443300,215658,Acetone
337,4388110,14169300,17451100,215833,Acetone
338,4392440,13897900,17455300,215915,Acetone
339,4369880,13913100,17418800,215758,Acetone
340,4410750,13720100,17408100,215756,Acetone
341,4404940,13684900,17424600,215817,Acetone
342,4381950,13737600,17425200,215520,Acetone
343,4400020,13760900,17471400,215431,Acetone
344,4410950,13742200,17512000,215456,Acetone
345,4413690,13743300,17178550,215436,Acetone
346,4392620,13828200,17168274,215421,Acetone
347,4405860,13851700,17225393,215638,Acetone
348,4397450,13914600,17397838,215800,Acetone
349,4380120,13936300,17488759,215773,Acetone
350,4398910,13690800,17301550,215480,Acetone
351,4405380,13802400,17355220,215607,Acetone
352,4402780,13780600,17440146,215785,Acetone
353,4417920,13863100,17375785,215438,Acetone
354,4394100,13973800,17448728,215672,Acetone
355,4395060,14004200,17331482,215500,Acetone
356,4386440,13929500,17468615,215469,Acetone
357,4400210,13892800,17476294,215666,Acetone
358,4393590,13891900,17085390,215700,Acetone
359,4407750,13889200,17379983,215437,Acetone
360,4432080,14087700,17095150,215483,Acetone
361,4400940,14045600,17476059,215470,Acetone
362,4402440,14058900,17198636,215626,Acetone
363,4406800,14089900,17143934,215644,Acetone
364,4428390,14319700,17306106,215519,Acetone
365,4413940,14211600,17454342,215478,Acetone
366,4421590,14225500,17071258,215490,Acetone
367,4422120,14262500,17438599,215216,Acetone
368,4417650,14100500,17445251,215353,Acetone
369,4430340,14139900,17435797,215498,Acetone
370,4439890,14183500,17488777,215643,Acetone
371,4412730,14058400,17407974,215729,Acetone
372,4416860,14099400,17308631,215708,Acetone
